City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,18.28,65,78,6.22,PN,1724384168
1,qaqortoq,60.7167,-46.0333,8.01,60,96,1.86,GL,1724384244
2,laguna,38.421,-121.4238,20.69,65,0,5.66,US,1724384246
3,ushuaia,-54.8,-68.3,6.81,70,75,7.72,AR,1724383968
4,mykhaylivka,47.2724,35.2224,22.45,64,19,2.95,UA,1724384249
5,colonia,50.9333,6.95,18.31,70,0,5.14,DE,1724384027
6,waitangi,-43.9535,-176.5597,12.12,87,58,4.92,NZ,1724384251
7,port-aux-francais,-49.35,70.2167,1.09,60,100,11.09,TF,1724384252
8,tiksi,71.6872,128.8694,4.2,86,93,1.54,RU,1724384253
9,taulaga,-11.0553,-171.0883,27.21,75,51,10.36,AS,1724384255
10,yakeshi,49.2833,120.7333,25.79,44,59,1.42,CN,1724384256
11,lompoc,34.6391,-120.4579,16.23,85,0,3.6,US,1724384257
12,salina cruz,16.1667,-95.2,27.94,68,25,5.73,MX,1724384258
13,kondovo,42.0117,21.3136,17.57,52,95,1.47,MK,1724384259
14,santa elena de uairen,4.6167,-61.1333,19.95,89,97,1.24,VE,1724384260
15,invercargill,-46.4,168.35,14.45,74,100,1.34,NZ,1724384261
16,grytviken,-54.2811,-36.5092,-0.1,83,51,6.93,GS,1724384264
17,udachny,66.4167,112.4,16.85,65,100,2.99,RU,1724384265
18,carnarvon,-24.8667,113.6333,21.18,67,99,6.19,AU,1724384266
19,claudio,-20.4433,-44.7658,17.47,46,1,0.6,BR,1724384267
20,puerto natales,-51.7236,-72.4875,0.97,92,98,1.98,CL,1724384268
21,kozhevnikovo,56.2589,83.9714,20.15,65,38,2.48,RU,1724384269
22,dauphin,51.1494,-100.0502,20.08,73,0,3.6,CA,1724384270
23,tabou,4.423,-7.3528,24.01,89,100,4.03,CI,1724384271
24,east london,-33.0153,27.9116,12.52,71,0,4.63,ZA,1724384273
25,quellon,-43.1167,-73.6167,5.18,88,98,1.53,CL,1724384274
26,ancud,-41.8697,-73.8203,4.34,90,33,1.13,CL,1724384275
27,uturoa,-16.7333,-151.4333,25.24,75,41,10.1,PF,1724384276
28,thompson,55.7435,-97.8558,16.09,100,75,3.09,CA,1724384277
29,burela de cabo,43.65,-7.4,18.25,82,71,1.72,ES,1724384278
30,fale old settlement,-9.3852,-171.2468,27.48,78,64,11.02,TK,1724384279
31,badger,64.8,-147.5333,10.95,85,75,6.69,US,1724384280
32,tsiombe,-25.3,45.4833,17.59,85,27,2.07,MG,1724384282
